상점코드,상점명,카테고리코드,카테고리명,상품코드,상품명,가격,사용여부,label
woki_sandwich,우키샌드위치_송정점,32112,커피/라떼,1590070,(?˙?˙?) 2배용량 사이즈업 아이스 카페라떼,8600.0,Y,카페라떼
wapi_mia,와피_미아역점,59171,세트메뉴,1021509,A.대만샌드위치+아메리카노,4000.0,Y,샌드위치+아메리카노
twotigerscafe,이호당,85761,이호당 DONUTS,1514249,(DEEP)_누텔라 초코 도넛,3300.0,Y,초코 도넛
twotigerscafe,이호당,85761,이호당 DONUTS,1514247,(FRESH)_우유 생크림 도넛,2800.0,Y,우유 생크림 도넛
twotigerscafe,이호당,85761,이호당 DONUTS,1584497,(NEW)_얼그레이 커스터드 도넛,3300.0,Y,얼그레이 커스터드 도넛
twotigerscafe,이호당,85761,이호당 DONUTS,1514257,(BOX)_프리미엄 도넛박스,18500.0,Y,도넛 박스
theverywa_kor,더베리와플 안암점,7311,아이스크림 시럽 컵,168860,90.요거트+블루베리,3700.0,N,블루베리 요거트 아이스크림
soulbutton,소울버튼,65285,발룬티어스,1125124,Radio 틀고 Let me go! + 봉사자들사랑해카롱♥ ,9000.0,N,마카롱
songbin_kamameshi,가마메시야 송빈,81297,곁들임 메뉴,1475000,"부타노 쇼가야키 (豚の生姜?き)
최상급 마블링 목살구이. 은은한 생강향이 일품.",8000.0,Y,목살구이
schoolfood_sm,스쿨푸드_서울성모병원점,43894,포장,902162,(포)시즌4) 매니아냉면 + 군만두(3pcs),10000.0,Y,냉면 + 군만두
schoolfood_sm,스쿨푸드_서울성모병원점,43894,포장,896830,(포)시즌5) 착한새우튀김냉소바 + 군만두(3pcs),10000.0,Y,냉소바 + 군만두
schoolfood_sm,스쿨푸드_서울성모병원점,43894,포장,902160,(포)시즌2) 신사동신비국시 + 군만두(3pcs),10000.0,Y,?
schoolfood_sm,스쿨푸드_서울성모병원점,43894,포장,902161,(포)시즌3) 오도독짱아치물냉면 + 군만두(3pcs),10000.0,Y,물냉면 + 군만두
schoolfood_sm,스쿨푸드_서울성모병원점,43894,포장,902159,(포)시즌1) 신김치말이국시with짱아치 + 군만두(3pcs),10000.0,Y,?
schoolfood_sm,스쿨푸드_서울성모병원점,43894,포장,799925,(포)스페셜마리II (오징어+날치+스팸1),8800.0,Y,스페셜마리2
schoolfood_sm,스쿨푸드_서울성모병원점,43894,포장,927899,(포)시즌6) Old&wisw돈가스 + 미니냉소바,11500.0,Y,냉소바 + 돈가스
saladoob,샐러둡,83505,1인 세트 (약 15% 할인),1468770,산뜻 한 끼♣ (샐러드 택 1+커피or음료 1종),9400.0,Y,?
saladoob,샐러둡,83505,1인 세트 (약 15% 할인),1468661,든든 한 끼♣ (샐러드 택 1+미니 단호박 스프),8600.0,Y,?
saladlow_snu,샐러드로우_서울대입구점,81719,EVENT,1434889,"10,000원 이상 구매고객 EVENT
(네이버영수증리뷰)",0.0,Y,drop
pinks,핑크스,56955,JIMIN DEBUT 9TH ANNIVERSARY ,961047,V♡,8900.0,N,drop
ollalla,울랄라 베이커리,64925,Coffee,1123076,└ 샷 추가 +500,500.0,Y,옵션
obuse,오부세,70559,Restaurant,1600934,#신메뉴#김치치즈볶음밥,13500.0,Y,김치 치즈 볶음밥
obuse,오부세,70559,Restaurant,1387313,#신메뉴/ 회덮밥(야채듬뿍),13500.0,N,회덮밥
obuse,오부세,70559,Restaurant,1600933,#신메뉴#김치카츠나베,14000.0,Y,김치 카츠 나베
nonamepasta_ewu,이름없는파스타_이화여대점,16048,한입™사이드,117912,#갑자기™ 스테이키,9800.0,N,스테이크
monstercoffee_pg,몬스터커피_팔거역점,71224,TEA,1265012,●페퍼민트,3000.0,Y,페퍼민트
monstercoffee_pg,몬스터커피_팔거역점,71224,TEA,1657261,●캐모마일,3000.0,N,캐모마일
megacroffel_ys,메가샵크로플_예산점,63425,커피,1091132,●바닐라라떼(아이스),3500.0,N,바닐라라떼
lotteworld_fr,롯데월드_패밀리 레이싱,55954,오전,965342,0.6041666666666666,0.0,N,drop
katsrow,카츠로우,85235,미소카츠,1498504,등심 미소카츠 특(特),27000.0,N,등심 미소카츠
just_b,저스트비,17009,넌커피,122930,ICE 말차라떼,4500.0,Y,말차라떼
just_b,저스트비,17147,*넌커피,124405,*ICE 얼그레이아이스티,4300.0,N,얼그레이
just_b,저스트비,17008,커피,122923,ICE 카페라떼,3500.0,Y,카페라떼
jejecoffee,제제커피_마곡나루점,83422,커피,1504295,★오픈기념★ 1+1 아메리카노,2500.0,N,아메리카노
hide,하이드,77560,TAKE OUT,1370174,T-O) ICE 바닐라라떼,3800.0,Y,바닐라라떼
happiness,해피니스디저트,60516,肉松·로우쏭,1399281,*MINI 딸기맛 로우쏭케익,8500.0,N,케익
happiness,해피니스디저트,60516,肉松·로우쏭,1061693,*MINI 오리지널 로우쏭케익,8500.0,Y,케익
happiness,해피니스디저트,60515,??·화과자,1370243,*야자 아몬드 과자,12500.0,N,아몬드 과자
happiness,해피니스디저트,60516,肉松·로우쏭,1062432,*MINI 김맛 로우쏭케익,8500.0,Y,케이크
castanets2,캐스터네츠 강남N점,75296,블로거,1330678,환타오렌지☆,0.0,N,환타
brotdeway,브로드웨이,50526,DESSERT,1262182,▶바닐라크로플,6900.0,N,크로플
brotdeway,브로드웨이,50526,DESSERT,1396074,★순우유 케이크,6500.0,Y,케이크
bebeco_yd,배배꼬_운정점,81267,크림도넛,1447914,☆生우유 카스테라 도넛●,4300.0,N,우유 카스테라 도넛
bebeco_yd,배배꼬_운정점,81267,크림도넛,1447917,☆우유딸기 카스테라 도넛●,4500.0,N,우유 딸기 카스테라 도넛
aqua_garden,아쿠아가든,38142,용품,661779,테트라 NH3/NH4 테스트,16000.0,N,drop
adult_kimbab,어른김밥,76965,어른 김밥,1539591,---------Take out---------,0.0,Y,drop
adult_kimbab,어른김밥,76965,어른 김밥,1539592,--------- 전화 결제X ---------,0.0,Y,drop
55gallon_2,(주)담청에프엔비,52845,간식,945318,(1입)TBL-벤토나이트 카본 모래_울트라오더 씰 12KG,17000.0,N,?
coffee_found,커피파운드,80939,필터커피,1533640,"[S&H]RWANDA KARIMA
살구 청을 달콤하게 우려낸 듯 깔끔한 커피",,,필터커피
coffee_found,커피파운드,80939,필터커피,1519950,"[MAME] FULL BLOOM
견과류 같이 고소하면서 깔끔한 커피",9000.0,N,필터커피
