document	label
3단계	__label__옵션
밀떡변경	__label__옵션
분모자변경	__label__옵션
파마산	__label__옵션
콩가루	__label__옵션
계란1개	__label__옵션
비엔나5개	__label__옵션
가래떡1개	__label__옵션
어묵사리	__label__옵션
치즈사리	__label__옵션
분모자	__label__옵션
테스트상품1	__label__drop
오픈행사(남포동과순살치킨)	__label__순살 치킨
닭갈비가래떡볶이	__label__떡볶이
카스(병)	__label__카스
테라(병)	__label__테라
카프리(병)	__label__카프리
소주(처음처럼)	__label__처음처럼
소주(참이슬 순한)	__label__참이슬 fresh
소주(진로이즈백)	__label__진로
(포장할인)남순모SET	__label__?
(포장할인) 남포동과순살치킨	__label__순살 치킨
(포장할인)할가떡튀김SET	__label__떡볶이 튀김 세트
(포장할인)어떡할가SET	__label__?
(포장할인)남김모SET	__label__?
특선세트10P(1인분)	__label__초밥
초밥세트12P(1인분)	__label__초밥
초밥세트26P(2인분)	__label__초밥
연어세트12P(1인분)	__label__초밥
스시앤롤세트22P(2인분)	__label__초밥
호온세트	__label__초밥
간장새우초밥4p	__label__초밥
구운소고기초밥4p	__label__초밥
생연어초밥4p	__label__초밥
구운연어초밥4p	__label__초밥
광어초밥4p	__label__초밥
구운장어초밥4p	__label__초밥
초새우초밥4p	__label__초밥
구운계란초밥4p	__label__초밥
구운유부초밥4p	__label__초밥
구운새우초밥4p	__label__초밥
관자초밥 4p	__label__초밥
한치 4p	__label__초밥
구운게살 4p	__label__초밥
한치 4p	__label__초밥
구운게살 4p	__label__초밥
캘리포니아롤9p	__label__롤
연어아보카도롤9p	__label__롤
치킨카츠아보카도롤9p	__label__롤
연어스테이크롤8p	__label__롤
구운장어롤 8p	__label__롤
연어크림치즈아보카도롤9p	__label__롤
콤비네이션롤9p	__label__롤
한개우동	__label__우동
반개우동	__label__우동
모듬고로케3p	__label__고로케
새우튀김 3p	__label__튀김
타코야끼볼 6p	__label__타코야끼
등심돈까스+유부초밥	__label__돈까스+초밥
치즈돈까스+유부초밥	__label__돈까스+초밥
냉모밀	__label__냉모밀
펩시콜라	__label__콜라
칠성사이다	__label__사이다
미린다파인	__label__미린다
밀키스	__label__밀키스
마운틴듀 	__label__마운틴듀
대선 	__label__대선
참이슬 	__label__참이슬
좋은데이	__label__좋은데이
진로	__label__진로
테라 	__label__테라
카스 	__label__카스
클라우드	__label__클라우드
처음처럼	__label__처음처럼
스파클링	__label__스파클링
트로피카나스파클링 오랜지	__label__스파클링
연어	__label__옵션
광어	__label__옵션
장어	__label__옵션
관자	__label__옵션
소고기	__label__옵션
초새우	__label__옵션
간장새우	__label__옵션
한치	__label__옵션
대게살	__label__옵션
계란	__label__옵션
유부	__label__옵션
진맛살(롤용)	__label__옵션
새우튀김	__label__옵션
감자고로케	__label__옵션
카레고로케	__label__옵션
야채고로케	__label__옵션
타코야끼볼	__label__옵션
락교	__label__옵션
생와사비	__label__옵션
산고추	__label__옵션
초생강(적)	__label__옵션
단무지	__label__옵션
날치알	__label__옵션
돈카츠	__label__옵션
치즈카츠	__label__옵션
치킨카츠	__label__옵션
우동면	__label__옵션
우동쯔유	__label__옵션
우동어묵	__label__옵션
가쓰오부시	__label__옵션
돈카츠소스	__label__옵션
타르타르소스	__label__옵션
파슬리	__label__옵션
초대리	__label__옵션
데리야끼소스	__label__옵션
스파이시소스	__label__옵션
김	__label__옵션
붕어간장	__label__옵션
스시4용기	__label__drop
스시10용기	__label__drop
스시12용기	__label__drop
스시26용기	__label__drop
돈까스용기	__label__drop
롤용기	__label__drop
우동용기	__label__drop
우동국물(소)	__label__drop
우동국물(대)	__label__drop
반찬용기	__label__drop
비닐봉지(소)	__label__drop
비닐봉지(대)	__label__drop
나무젓가락	__label__drop
해동지	__label__drop
카페라떼	__label__카페라떼
바닐라라떼	__label__바닐라라떼
헤이즐넛아메리카노	__label__헤이즐넛아메리카노
연유라떼	__label__연유라떼
카라멜 마끼아또	__label__카라멜마끼아또
카페모카	__label__카페모카
민트모카	__label__민트모카
꿀 아메리카노	__label__꿀 아메리카노
꿀 카페라떼	__label__꿀 카페라떼
치즈크림 아메리카노(only ice)	__label__치즈크림 아메리카노
치즈크림 카페라떼(only ice)	__label__치즈크림 카페라떼
시럽/샷/휘핑/코코넛젤리추가	__label__옵션
아메리카노	__label__아메리카노
1리터아메(only ice)	__label__아메리카노
(행사)아메리카노	__label__아메리카노
카푸치노	__label__카푸치노
초코라떼	__label__초코라떼
녹차라떼	__label__녹차라떼
밀크티	__label__밀크티
고구마라떼	__label__고구마라떼
흑임자라떼	__label__흑임자라떼
딸기라떼(only ice)	__label__딸기라떼
민트초코라떼	__label__민트초코라떼
이천쌀라떼(only hot)	__label__이천쌀라떼
초코버블라떼(only ice)	__label__초코버블라떼
그린티버블라떼(only ice)	__label__그린티버블라떼
쿠앤크버블라떼(only ice)	__label__쿠앤크버블라떼
딸기버블라떼(only ice)	__label__딸기버블라떼
흑당버블라떼(only ice)	__label__흑당버블라떼
오곡라떼	__label__오곡라떼
커피 프라페	__label__커피 프라페
헤이즐넛  프라페	__label__헤이즐넛 프라페
녹차 프라페	__label__녹차 프라페
민트초코칩 프라페	__label__민트초코칩 프라페
자바칩 프라페	__label__자바칩 프라페
쿠앤크 프라페	__label__쿠앤크 프라페
이천쌀 프라페	__label__이천쌀 프라페
플레인 요거트 스무디	__label__플레인 요거트 스무디
딸기 요거트 스무디	__label__딸기 요거트 스무디
망고 요거트 스무디	__label__망고 요거트 스무디
자두 요거트 스무디	__label__자두 요거트 스무디
큐브수박스무디(계절)	__label__큐브 수박 스무디
큐브망고스무디(계절)	__label__큐브 망고 스무디
인절미 빙수치노	__label__인절미 빙수치노
딸기 빙수치노	__label__딸기 빙수치노
흑임자 빙수치노	__label__흑임자 빙수치노
바닐라 코코팝	__label__바닐라 코코팝
딸기 코코팝	__label__딸기 코코팝
쿠앤크 코코팝	__label__쿠앤크 코코팝
밀크 쉐이크	__label__밀크 쉐이크
딸기오레오 쉐이크	__label__딸기오레오 쉐이크
오레오 쉐이크	__label__오레오 쉐이크
녹차오레오 쉐이크	__label__녹차오레오 쉐이크
꿀고구마아메세트	__label__고구마+아메리카노
꿀고구마라떼세트	__label__고구마+카페라떼
