index,브랜드코드,브랜드명,점포번호,점포명,사업자번호,MENU_CD,MENU_FULL_NM,MENU_NM,판매가격,label
200,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000038,3단계,3단계,0,옵션
201,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000039,밀떡변경,밀떡변경,0,옵션
202,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000040,분모자변경,분모자변경,"2,000",옵션
203,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000041,파마산,파마산,500,옵션
204,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000042,콩가루,콩가루,500,옵션
205,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000043,계란1개,계란1개,500,옵션
206,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000044,비엔나5개,비엔나5개,"1,000",옵션
207,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000045,가래떡1개,가래떡1개,"1,000",옵션
208,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000046,어묵사리,어묵사리,"1,000",옵션
209,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000047,치즈사리,치즈사리,"2,000",옵션
210,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000048,분모자,분모자,"1,500",옵션
211,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000049,테스트상품1,테스트상품1,"1,000",drop
212,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000050,오픈행사(남포동과순살치킨),오픈행사(남포동과순살치킨),"8,000",순살 치킨
213,gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000051,닭갈비가래떡볶이,닭갈비가래떡볶이,"9,900",떡볶이
